lot,title,author,volumes,date_published,format_section,buyer,price
1813,"Translation from the French by D.Y.",,,(3 copies),Octavo et Infra (Eighth Day continued),Smith,2.6[?]
1814,"Erasmus (Gen. Glos.) Opera, tom. 1",Erasmus,,Frisen. 1710,Octavo et Infra (Eighth Day continued),Smith[?],2.6[?]
,,,,,FOLIO,,
1815,"Raleigh's (Sir Walter) History of the World, wants the title",,,,Folio,Powell,5.6
1816,"The great body of the Law",,,,Folio,Heber,6.6
1817,"Gall. (Ant. Doria) Compendio&c, Symbolorum&c",,1590,Folio,Williams,3.6
1818,"Lipsii Dictionarium seu Rudimenta",,1563,Folio,[?],[?]
1819,"Magri Dictionarius Forum Eccl.",,Eb. Ant. 1700,Folio,Maplin[?],3.0[?]
1820,"Riant's [?] History of the Turkish Empire",,1723,Folio,[?],[?]
1821,"Somer's (General) Travels, 3 vol. many plates",,,,Folio,Brompston[?],6.6[?]
1822,"Sandy's (Geo.) Travels, Turkey, Egypt, and Italy",,1670,Folio,Priestley,12.0[?]
1823,"Scala (Jos.) Plates",,1670,Folio,[?],2.0[?]
1824,"Stephani Lexicon, Graecae Linguae",,Basel 1572,Folio,Williams,2.0[?]
1825,"Solari's (Abbé) Tracts, portrait",,1683,Folio,[?],[?]
1826,"Solari (Ann.) Opera, a Willins, 6 tom. portrait",,Ven. 1724,Folio,Heber,[?]
1827,"Shaw (Thos.) Travels in Barbary and the Levant, plates",,,,Folio,Boone,3.6
1828,"Simweri (Steph.) Etymologicon Linguae Anglicanae",,Oxford 1702,Folio,Priestley,15.0[?]
1829,"Snelling's (Thos.) View of the Silver Coin and Coinage of England, his View of the Golden Coin and Coinage of England, plates, and MS. additions, 1763, 64, — Snelling's View of the Copper Coin and Coinage of England, — View, Nature, and Use of Jettons or Counters — View of the Silver Coin and Coinage of Scotland — Views of the Coins struck by English Princes in France, Counterfeit Sterlings struck by E.I. Company, West India &c. &c.",,1763-66,Folio,Priestley,8.0[?]
