lot,title,author,volumes,date_published,format_section,buyer,price
1,"Magazines and Reviews, various, a bundle of",,,,"First Day - Octavo",Smith,2-6
2,"Odd Volumes (English), a parcel of",,,,"First Day - Octavo",W May[?],10-0
3,"Odd Volumes (French), 8vo, a parcel of",,,,"First Day - Octavo",Smith B,10-6
4,"12mo, a parcel of",,,,"First Day - Octavo",a[?] May[?],[?]
5,"Pamphlets (Medical), a parcel",,,,"First Day - Octavo",Smith B,5-6
6,"Pamphlets (Poetical), a bundle",,,,"First Day - Octavo",Smith B,9-0
7,"Pamphlets (Religious), a bundle",,,,"First Day - Octavo",Smith B,[?]
8,"Pamphlets (French, Italian, &c.), a bundle",,,,"First Day - Octavo",Burney,11-6
9,"Pamphlets (Political and Miscellaneous), a large bundle",,,,"First Day - Octavo",Sheldon,3-0[?]
10,"School Books, (various) a parcel",,,,"First Day - Octavo",White,3-0
11,"School Books (Grammatical), a parcel",,,,"First Day - Octavo",,
12,"Account of the Conduct of the Dowager Duchess of Marlborough",,,,1742,"First Day - Octavo",White,1-0
13,"Addison's (Joseph) Miscellaneous Works, 4 vol.",Addison,4,1726,"First Day - Octavo",Christie,4-6
14,"Adventurer (The), 4 vol.",,4,1756,"First Day - Octavo",Powell,[?]
15,"Adams' (John) Modern Voyages, 2 vol.",Adams,2,1790,"First Day - Octavo",Pearce,3-0
16,"Aeliani Historia",,,1599,"First Day - Octavo",Pearce,6-0
17,"Aeschylus, Gr. et Lat. ap Foulis, Glasg.",,,1746,"First Day - Octavo",Guthrie,3-0
18,"Aeschylus, translated by Potter, 2 vol.",,2,1779,"First Day - Octavo",Powell,12-6
19,"Aesopicarum Fabularum Delectus, Gr. et Lat. Oxon.",,,1698,"First Day - Octavo",,
20,"Agrippa's Vanity of Arts and Sciences",,,,1676,"First Day - Octavo",W Mason[?],3-0
21,"Aikin's (J.) Poems",Aikin,,1791,"First Day - Octavo",Pearce,1-6
22,"Aikin's (J.) Essay on Song Writing",Aikin,,,,"First Day - Octavo",Sheldon[?],[?]
23,"Aikin's Annual Review for 1802",Aikin,,,,"First Day - Octavo",,
24,"Akenside's (Mark) Poems",Akenside,,1772,"First Day - Octavo",Charles,4-0[?]
25,"Alembert (M. d') Eloges des Membres de l'Academie Francaise",d'Alembert,,1779,"First Day - Octavo",[?],[?]
26,"Alembert 6 tom.",,6,,[?],"First Day - Octavo",Griffiths[?],2-0[?]
27,"Alembert (D') sur la Destruction des Jesuites en France",,,,1768,"First Day - Octavo",Priestley,4-0
28,"Algarotti, Opere, 8 tom.",Algarotti,8,1764,"First Day - Octavo",,
29,"Northampton, by Bridges",,,1779[?],"First Day - Octavo",,
30,"Essay on Painting",,,,[?],"First Day - Octavo",,
31,"Allen's Kitchen Garden",Allen,,,"First Day - Octavo",Powell,1-6[?]
32,"Almeloveen Opuscula",,,,"First Day - Octavo",Smith[?],[?]
33,"Alphonsus (Luigi) Opera Omnia, Occasioned [?]",,,1771,"First Day - Octavo",,4-0[?]
34,"Amaduzzi Macellinus, en Francais",,,,1769[?],"First Day - Octavo",,
35,"Ammianus, Gr. et ex., cum editione",,,1789,"First Day - Octavo",,
36,"Anacreon, Sappho, Bion, Moschus, and Musaeus' Works",,,,,"First Day - Octavo",Spinetto[?],[?]
37,"Ancharano Ponete, tradotte in Versi Toscani",,,,1804,"First Day - Octavo",,
38,"Annual Register, from the Commencement in 1758 to 1812",,,,1758-1812,"First Day - Octavo",,
39,"Annual Register (wanting 1769, 1774, 1780)",,,,"First Day - Octavo",,
40,"Anquetil Louis XIV, Conjure Bigot, 4 vol.",,4,,"First Day - Octavo",Boone,[?]
41,"Anstey's Pleader's Guide, a Poem",,,,,"First Day - Octavo",Powell,[?]
42,"Answer to Lord Bolingbroke's [?]",,,,"First Day - Octavo",,
43,"Anti Jacobin Review, from July 1798 to April 1801",,,,1798-1801,"First Day - Octavo",,
44,"Antiquario Fiorentino o sia Guida della Citta di Firenze",,,1765,"First Day - Octavo",Boone,[?]
45,"Antinori Commessioni Italienne et Constantini Maitre Toscane",,,,"First Day - Octavo",,
46,"Antonio (Marc) Reflexiones Morales, par Dacier, 2 tom. en 1",Antonio,2,,"First Day - Octavo",Boone,[?]
47,"Antoninus' Meditations, by Graves",,,,[?],"First Day - Octavo",Priestley[?],[?]
48,"Apollodorus, by Fawkes",,,1760,"First Day - Octavo",[?],[?]
49,"Apophthegms of the Ancients, 3 vol.",,3,,"First Day - Octavo",Christie[?],[?]
50,"Apparato e Festo nelle Nozze della Signor Duca di Firenze",,,,"First Day - Octavo",Bindley[?],5-0
51,"Apulei Opera Omnia",,,1623[?],"First Day - Octavo",Guthrie[?],6-0
52,"Appier Metamorphoses ou l'Ane d'Or, 2 tom. planches",,2,1707,"First Day - Octavo",Powell,[?]
53,"Aratus, Gr.",,,1672,"First Day - Octavo",,5-0
54,"Aratus, Ital. et Latin",,,,1672[?],"First Day - Octavo",,
55,"Arbuthnot's (Dr.) Miscellaneous Works, 2 vol.",Arbuthnot,2,1751,"First Day - Octavo",White,[?]
56,"Arbuthnot, Essay on the Nature of Aliments",Arbuthnot,,1731,"First Day - Octavo",Boussey[?],[?]
57,"Argens (Marquis d') Histoire de l'Esprit Humain, 3 tom.",d'Argens,3,1765,"First Day - Octavo",,
58,"Argenteau (Comte de) Traitement Politique, 2 tom. en 1",d'Argenteau,2,1798[?],"First Day - Octavo",Orace[?],[?]
59,"Ariosto Cassaria, Comedia",Ariosto,,1546,"First Day - Octavo",Pearce,2-0
60,"Ariosto in London, Comedia",Ariosto,,1608[?],"First Day - Octavo",,
61,"Ariosto in Satiren, Comedia etc. et J. Sappone Comediae Curiose",Ariosto,,,"First Day - Octavo",White,1-6
62,"Ariosto, Orlando Furioso, il Negromante, etc.",Ariosto,,1719,"First Day - Octavo",Rosse[?],2-0
63,"Ariosto, Orlando Furioso, 4 tom.",,4,1730[?],"First Day - Octavo",White,7-6
64,"Ariosto, Rime",,,,1719[?],"First Day - Octavo",Challis[?],[?]
65,"Ariosto Roland Furieux en Francois",,,,[?],"First Day - Octavo",Priestley[?],[?]
66,"Ariosto Roland Furieux, a Heads, 8 vol. plates",,8,1777[?],"First Day - Octavo",Bristle[?],[?]
67,"Ariostoo (Cr. de M Poeti, 5 vol. 16.o star elited",,,1790[?],"First Day - Octavo",,
68,"Ariosto, Opere, Gr. et Lat.",,,,,"First Day - Octavo",,
69,"Ariosto, (The) Poems, translated by R. St. P.",,,,,"First Day - Octavo",Chalmers[?],6-0
70,"Aristophanes, le Plutus, translated by Twining, 2 tom.",,2,1812,"First Day - Octavo",,
71,"Aristotle's (John) Miscellanies, 2 vol. in 1",,2,,"First Day - Octavo",,3-0
72,"Atterbury's (Bp.) Private Life of the Romans, in Reeks",Atterbury,,1729[?],"First Day - Octavo",Chalke[?],[?]
73,"Arden's Historical Memorials of Westminster, by Reeks, 2v.",Arden,2,1729[?],"First Day - Octavo",,
74,"Archer Annual Register, 1799, 1800, 1, 2, 4",Archer,,1799-1800,"First Day - Octavo",Castler[?],[?]
75,"Archer (Arthur s') History of the Earth and Earths'",Archer,,1701,"First Day - Octavo",,
76,"Association Papers",,,,1792,"First Day - Octavo",,
77,"Association Papers",,,,,"First Day - Octavo",[?],[?]
78,"Asylum for Fugitive Pieces",,,,,"First Day - Octavo",Pearce,3-0
79,"Atti della Solenne Coronazione fatta in Campidoglio della Insigne Poetessa Dna. Maria Maddolena Morelli Fernandez",,,,1779,"First Day - Octavo",Wickham[?],[?]
80,"Arrigoni (H. d') Memoires, 3 tom. en 1",d'Arrigoni,3,1672[?],"First Day - Octavo",,
81,"Augustini (S.) Confessions, par A. d'Andilly",Augustini,,1670[?],"First Day - Octavo",Guthrie[?],[?]
82,"Augustine's Confessions",Augustine,,1679[?],"First Day - Octavo",,
83,"Augustine's Meditations, by Stanhope",Augustine,,1672[?],"First Day - Octavo",,
84,"Aulus Gellius, translated by Beloe, 2 vol.",Aulus Gellius,2,1741[?],"First Day - Octavo",Broone[?],[?]
85,"Aulus Gellius' Grammar",Aulus Gellius,,,"First Day - Octavo",,
86,"Bielande and Jean's County Maps of England",,,,1791,"First Day - Octavo",,
87,"Baker's Friendly Administration to Parrots, engraved, revised",,,,1803[?],"First Day - Octavo",D'[?]oisy,3-0
88,"Baller's English, French, Latin, and German Dictionary",,,,1706[?],"First Day - Octavo",Pearce[?],[?]
89,"Baller des Enfans devons celebres par leurs Etudes",,,,1588[?],"First Day - Octavo",Pearce[?],[?]
90,"Baker Medialle Poetarum Reeumorum, Lat. and Engl.",,,,,"First Day - Octavo",Stuckley[?],[?]
