lot,title,author,volumes,date_published,format_section,buyer,price
427,"Chronicles of the Roman, Saxon, and English Nations",,,,Second Day's Sale - Folio,[?],[?]
428,Authority of the Hebrew Bible Vindicated,,,1734,Second Day's Sale - Folio,White[?],0.6.0
429,Mosaic at Whitehall in the Jerusalem Chamber,,,1753,Second Day's Sale - Folio,M'Caulley[?],[?]
430,"Drunken Night, the Irish Fortunatus",,,1664,Second Day's Sale - Folio,James[?],[?]
431,Yearly Bills of Mortality from 1657 to 1749,,,1749,Second Day's Sale - Folio,Booker,0.5.0
432,"Comparison, by Calderon/ Lope de Vega, &c.",,,,Second Day's Sale - Folio,Charles,0.5.0
433,"Complete Holy Bible, in 1 vol.",,,1663,Second Day's Sale - Folio,[?],[?]
434,"(M.) Memoires pour Trois premieres Degrees",,,1781,Second Day's Sale - Folio,Walter[?],0.6.0
435,"Second Annual or a Frequency survey, containing Second and Third Voyages, &c.",,,1726,Second Day's Sale - Folio,Wallace[?],[?]
436,"a separate vol. for Antarctica, half bound",,,1810,Second Day's Sale - Folio,Anthell[?],[?]
437,"Second Voyage towards the South Pole, and round the World in 1772, 3, 4, 5; 2 vol. plates",,,1777,Second Day's Sale - Folio,Batchelor,0.7.6
438,Third Voyage to the Pacific Ocean; 3 vol.,,,1784,Second Day's Sale - Folio,Anthell,0.6.0 [?]
439,Casa illustrata di Milano,,,1836,Second Day's Sale - Folio,A.B.[?] Criger[?],[?]
446,"Bayle (Mr.) Oeuvres Diverses, 4 tom.",,,Haye 1727,Second Day's Sale - Folio,D.Y. Edwards[?],0.0.5
447,"Dictionnaire Historique et Critique, 5 tom.",,,1734,Second Day's Sale - Folio,Anthell,0.3.0 [?]
448,"Bede (S. Ven.) Historiae Ecclesiasticae Gentis Anglorum",,,Cant. 1644,Second Day's Sale - Folio,Christie,0.3.0
449,Bembo (Peri) Historia Veneta,,,Venet. 1551,Second Day's Sale - Folio,O[?]d[?]n,0.15.0 [?]
450,"Bergantini Dizionari di Tutte in Voci Scompra and Vocabilarii",,,1760,Second Day's Sale - Folio,Wilbraham[?],[?]
451,"se Unione della Croce",,,Firenz. 1700,Second Day's Sale - Folio,[?],[?]
452,"Bible (The Holy), with a Preface by Archbishop Cranmer, and the Genealogies, black letter",,,Barker Lond. 1578,Second Day's Sale - Folio,M'Caulley[?],[?]
453,"Biographia Britannica; or the Lives of the most Eminent Persons who have flourished in Great Britain and Ireland, 5 vol.",,,1778,Second Day's Sale - Folio,[?],[?]
443,"Blount's (Sir Francis) History of the Civil Warres of England between the two Houses of Lancaster and Yorke, 2 vol. in 1",,,1641,Second Day's Sale - Folio,Anthell,0.14.0 [?]
444,"Black (John) Chronology",,,1754,Second Day's Sale - Folio,Boswell[?],0.3.0
445,"Blomefield's (Fr.) History of Norfolk, by Parkin, vols. 1, 2, 3, and 5",,,1769,Second Day's Sale - Folio,James,0.2.0 [?]
446,Blount's Law Dictionary,,,1717,Second Day's Sale - Folio,Martin[?],0.1.0
447,Bocalini's Advertisements from Parnassus,,,1669,Second Day's Sale - Folio (p.14),[?],[?]
448,"Boccaccio's (John) Novels and Tales, portrait",,,1684,Second Day's Sale - Folio (p.14),M'Brydley[?],0.5.0 [?]
449,"Borlasse's (Wm.) Natural History of Cornwall, plates",,,1758,Second Day's Sale - Folio (p.14),A. Davis,0.6.0
450,"Brahe (Tycho) Astronomiae Instauratae Mechanica, plates, et Vitruvius de Architectura, in 1 vol.",,,1602-19,Second Day's Sale - Folio (p.14),Fonceton[?],[?]
451,Brown's (Sir Thos.) Works,,,1686,Second Day's Sale - Folio (p.14),[?],0.4.6 [?]
452,Enquiries into Vulgar and Common Errors,,,1686,Second Day's Sale - Folio (p.14),Bognell[?],[?]
453,"(Ed.) Travels in divers Parts of Europe, plates",,,1685,Second Day's Sale - Folio (p.14),Powell,0.10.6
454,"Buchanan's (David) History of the Reformation of the Church of Scotland",,,,[?],Second Day's Sale - Folio (p.14),Longton[?],0.3.6
455,"Buck's History of the Life and Reign of King Richard III, portrait",,,1647,Second Day's Sale - Folio (p.14),A. Priestley,0.1.6
456,"Burnett's (Bp.) History of the Reformation of the Church of England, 2 vol. portraits",,,1679,Second Day's Sale - Folio (p.14),Ogle [?],0.1.0 [?]
457,"COMPENDIO de l'Histoire Citate de Lodovico Ariosto",,,1555,Third Day's Sale - Octavo et Infra,Triphook,0.8.0
458,"Comte (Lewis Le) History of China, old morocco, gilt leaves, ruled with red lines",,,1738,Third Day's Sale - Octavo et Infra,Ellis,0.12.0
