date,direction,correspondent,repository,first_line
"[4] Aug [1812]",to,M d'A,"NYPL(B)","Here I am, in dear — dear old England —"
"5 Aug",to,M d'A,"NYPL(B)","this morning I thought all undone putting at"
"[5 Aug 1812]",from,AA to M d'A,"NYPL(B)","I am sick — sick — sick! I have"
"[5 Aug 1812]",to,CB,"NYPL(B)","Ah ma fanny quel Paris se parait change"
"5 Aug 1812",to,M d'A,"NYPL(B)","also copy mutilated 6 July"
"5 Aug 1812",from,M d'A,"NYPL(B)","Ma chere amie que tu trouveres tout"
"6 Aug",from,M d'A,"NYPL(B)","[?]"
"8 Aug",to,M d'A,"NYPL(B)","No unmixed joy far from thee my fanny! Joy"
"9 Aug",to,M d'A,"NYPL(B)","The tumult of emotions caused by"
"9 Aug",to,M d'A,"NYPL(B)","Welcome — a thousand times welcome, to"
"30 Aug [1812]",to,M d'A,"NYPL(B)","every moment is filled up with something"
"[post 9 Aug 1812]",to,M d'A,"NYPL(B)","[?] — is really an event every moment to"
"31 Aug [1812]",to,CB Jr,Osb,"[?]"
"12 Aug",to,M d'A,"NYPL(B)","this moment — calling to see my dearest"
"31 Aug-Sept",to,M d'A,"NYPL(B)","it is through my dear Sister Burney I am"
"12-22 Aug 1812",to,M d'A,"NYPL(B)","fondest opportunity already offers for writing"
"[Aug 1812]",from,"Lady Lucy (Fitzgerald) Foley","NYPL(B)","have you slept? and how do you find the"
"13 Aug",to,M d'A,"NYPL(B)","Encore! encore! — here, Jean Stiff!"
"2 Sept [1812]",to,M d'A,"NYPL(B)","[?]"
"with AA to M d'A","[?]","[?]","[?]","[?]"
"15 Aug",to,CB,"NYPL(B)","In a flutter of joy such as my tender Charlotte"
"15 Sept 1812",to,M d'A,"NYPL(B)","Ma matte, ma chere Bonne amie est excellente"
"[18 Aug 1812]",to,PML,"NYPL(B)","Who will be more sincerely rejoiced — except"
"10 Sept 1812",to,CB,"NYPL(B)","Huzza! / My dearest Father, / Huzza! / What"
"17 Aug",to,M d'A,"NYPL(B)","return to this Climate, being so near the floor."
"18 Aug [1812]",from,"Lady Lucy (Fitzgerald) Foley","NYPL(B)","[?]"
"1 Sept [1812]",to,M d'A,"NYPL(B)","The World is pretty bad, already — as we — at"
