author,title,date,cited_by
"Lewis, Lady Theresa (ed.)","Extracts of the Journals and Correspondence of Miss Berry from the Year 1783 to 1852",1865,"White, London in the Eighteenth Century"
"Lewis, W. S. (ed.)","Horace Walpole's Correspondence (Yale Edition) 48 vols",1937,"White, London in the Eighteenth Century"
"Lewis, W. S., George Cronin Jr. and Charles H. Bennett (eds.)","Horace Walpole's Correspondence with the Countess of Upper Ossory 3 vols",1965,"White, London in the Eighteenth Century"
"Lewis, W. S., Warren Hunting Smith and George L. Lam (eds.)","Horace Walpole's Correspondence with Madame du Deffand and Wiart 6 vols",1939,"White, London in the Eighteenth Century"
"Lewis, W. S. and A. Dayle Wallace (eds.)","Horace Walpole's Correspondence with Mary and Agnes Berry and Barbara Cecilia Seton 3 vols",1944,"White, London in the Eighteenth Century"
"Lewis, W. S., Robert A. Smith and Charles H. Bennett (eds.)","Horace Walpole's Correspondence with the Rev. William Cole 2 vols",1937,"White, London in the Eighteenth Century"
"Lewis, W. S. and Warren Hunting Smith (eds.)","Horace Walpole's Correspondence with Sir Horace Mann 11 vols",1954,"White, London in the Eighteenth Century"
"Lewis, W. S., Robert A. Smith and Charles H. Bennett (eds.)","Horace Walpole's Correspondence with Richard Bentley and the Earl and Countess Harcourt [?]",1937 [?],"White, London in the Eighteenth Century"
"Lewis, W. S., Ralph S. Brown et al. (eds.)","Horace Walpole's Correspondence with George Montagu 2 vols",1941,"White, London in the Eighteenth Century"
"Lewis, W. S.","Selected Letters of Horace Walpole",1973,"White, London in the Eighteenth Century"
"Lewis, W. S.","Horace Walpole's Fugitive Verses",1931,"White, London in the Eighteenth Century"
"Lillywhite, Bryant","London Coffee Houses: A Reference Book of Coffee Houses of the Seventeenth Eighteenth and Nineteenth Centuries",1963,"White, London in the Eighteenth Century"
"Little, David M. and George M. Kahrl (eds.)","The Letters of David Garrick 3 vols",1963,"White, London in the Eighteenth Century"
"Lonsdale, Roger (ed.)","Dr. Charles Burney: A Literary Biography",1965,"White, London in the Eighteenth Century"
"Lustig, Irma S. and Frederick A. Pottle (eds.)","Boswell: The Applause of the Jury 1782-1785",1981,"White, London in the Eighteenth Century"
"Lustig, Irma S. and Frederick A. Pottle (eds.)","Boswell: The English Experiment 1785-1789",1986,"White, London in the Eighteenth Century"
"Maitland, William","The History and Survey of London from Its Foundation to the Present Time 2 vols",1756,"White, London in the Eighteenth Century"
"Malcolm, James Peller","Anecdotes of the Manners and Customs of London during the Eighteenth Century",1810,"White, London in the Eighteenth Century"
"Malcolm, James Peller","Londinium Redivivum; or an Antient History and Modern Description of London 4 vols",1802,"White, London in the Eighteenth Century"
"Marshall, Dorothy","Dr. Johnson's London",1968,"White, London in the Eighteenth Century"
"Martin, Joanna (ed.)","A Governess in the Age of Jane Austen: The Journals and Letters of Agnes Porter",1998,"White, London in the Eighteenth Century"
"Masson, David (ed.)","The Collected Writings of Thomas De Quincey",1896,"White, London in the Eighteenth Century"
"Matthews, William (ed.)","The Diary of Dudley Ryder 1715-1716",1939,"White, London in the Eighteenth Century"
"Mayhew, Henry","London Labour and the London Poor 4 vols",1861,"White, London in the Eighteenth Century"
"Mayhew, Henry and John Binny","The Criminal Prisons of London and Scenes of Prison Life",1862,"White, London in the Eighteenth Century"
"Miles, William Augustus","A Letter to Sir John Fielding Knt. Occasioned by His Extraordinary Request to Mr Garrick for the Suppression of the Beggar's Opera",1773,"White, London in the Eighteenth Century"
"Mingay, G. E.","English Landed Society in the Eighteenth Century",1963,"White, London in the Eighteenth Century"
"Misson, Henri","Memoirs and Observations in His Travels over England",1719,"White, London in the Eighteenth Century"
"Mitchell, R. J. and M. D. R. Leys","A History of London Life",1958,"White, London in the Eighteenth Century"
"Moore, Lucy","The Thieves' Opera [?]",1997,"White, London in the Eighteenth Century"
"Moritz, Carl Philipp","Journeys of a German in England in 1782",1795,"White, London in the Eighteenth Century"
"Morris, Corbyn","Observations on the Past Growth and Present State of the City of London",1751,"White, London in the Eighteenth Century"
"Murphy, Arthur","The Life of David Garrick Esq.",1801,"White, London in the Eighteenth Century"
"Murphy, Arthur","The Gray's-Inn Journal 2 vols",1756,"White, London in the Eighteenth Century"
"Namier, Sir Lewis and John Brooke","The History of Parliament: The House of Commons 1754-1790 3 vols",1964,"White, London in the Eighteenth Century"
"Napier, Robina (ed.)","Johnsoniana: Anecdotes of the Late Samuel Johnson LL.D. during the Last Twenty Years of His Life",1884,"White, London in the Eighteenth Century"
"Nelson, John","The History Topography and Antiquities of the Parish of St Mary Islington",1811,"White, London in the Eighteenth Century"
"Nichols, John","Literary Anecdotes of the Eighteenth Century 9 vols",1812,"White, London in the Eighteenth Century"
"Nichols, R. H. and F. A. Wray","The History of the Foundling Hospital",1935,"White, London in the Eighteenth Century"
"Noorthouck, John","A New History of London Including Westminster and Southwark",1773,"White, London in the Eighteenth Century"
"O'Keeffe, John","Recollections of the Life of John O'Keeffe Written by Himself 2 vols",1826,"White, London in the Eighteenth Century"
"Ogborn, Miles","Spaces of Modernity: London's Geographies 1680-1780",1998,"White, London in the Eighteenth Century"
"Old Bailey Sessions Papers","Old Bailey Sessions Papers",1674,"White, London in the Eighteenth Century"
"Owen, David","English Philanthropy 1660-1960",1965,"White, London in the Eighteenth Century"
"Papendiek, Mrs [Charlotte]","Court and Private Life in the Time of Queen Charlotte",1887,"White, London in the Eighteenth Century"
"Parker, George","A View of Society and Manners in High and Low Life 2 vols",1781,"White, London in the Eighteenth Century"
"Paulson, Ronald","Hogarth: His Life Art and Times 2 vols",1971,"White, London in the Eighteenth Century"
"Pennant, Thomas","Some Account of London",1790,"White, London in the Eighteenth Century"
"Pennant, Thomas","A Journey from London to the Isle of Wight 2 vols",1801,"White, London in the Eighteenth Century"
"Pepys, William Weller","A Later Pepys: The Correspondence of Sir William Weller Pepys",1904,"White, London in the Eighteenth Century"
"Phillips, Hugh","The Thames about 1750",1951,"White, London in the Eighteenth Century"
"Phillips, Hugh","Mid-Georgian London",1964,"White, London in the Eighteenth Century"
"Picard, Liza","Dr Johnson's London: Life in London 1740-1770",2000,"White, London in the Eighteenth Century"
"Pinks, William J.","The History of Clerkenwell",1865,"White, London in the Eighteenth Century"
"Piozzi, Hester Lynch","Anecdotes of the Late Samuel Johnson LL.D. during the Last Twenty Years of His Life",1786,"White, London in the Eighteenth Century"
"Piozzi, Hester Lynch","Observations and Reflections Made in the Course of a Journey through France Italy and Germany",1789,"White, London in the Eighteenth Century"
"Piozzi, Hester Lynch","The Piozzi Letters",1989,"White, London in the Eighteenth Century"
"Pitt, Moses","The Cry of the Oppressed",1691,"White, London in the Eighteenth Century"
"Place, Francis","The Autobiography of Francis Place (1771-1854)",1972,"White, London in the Eighteenth Century"
"Pope, Alexander","The Dunciad",1728,"White, London in the Eighteenth Century"
"Porter, Roy","London: A Social History",1994,"White, London in the Eighteenth Century"
"Pottle, Frederick A. (ed.)","Boswell's London Journal 1762-1763",1950,"White, London in the Eighteenth Century"
"Pottle, Frederick A. (ed.)","Boswell in Holland 1763-1764",1952,"White, London in the Eighteenth Century"
"Price, Cecil","The Letters of Richard Brinsley Sheridan 3 vols",1966,"White, London in the Eighteenth Century"
"Price, F. G. Hilton","A Handbook of London Bankers",1876,"White, London in the Eighteenth Century"
"Pringle, Patrick","Hue and Cry: The Birth of the British Police",1955,"White, London in the Eighteenth Century"
"Pryor, Felix (ed.)","The Faber Book of Letters",1988,"White, London in the Eighteenth Century"
"Pugh, R. B. (ed.)","The Victoria County History of Middlesex",1969,"White, London in the Eighteenth Century"
"Quennell, Peter (ed.)","Memoirs of William Hickey",1960,"White, London in the Eighteenth Century"
"Radzinowicz, Leon","A History of English Criminal Law and Its Administration from 1750 4 vols",1948,"White, London in the Eighteenth Century"
"Ralph, James","A Critical Review of the Public Buildings Statues and Ornaments in and about London and Westminster",1734,"White, London in the Eighteenth Century"
"Ramsay, W. H. [?]","Wine and Walnuts; or After Dinner Chit-Chat",1823,"White, London in the Eighteenth Century"
"Rasmussen, Steen Eiler","London: The Unique City",1934,"White, London in the Eighteenth Century"
"Reed, Joseph W. and Frederick A. Pottle (eds.)","Boswell: Laird of Auchinleck 1778-1782",1977,"White, London in the Eighteenth Century"
"Rendell, Jane","The Pursuit of Pleasure: Gender Space and Architecture in Regency London",2002,"White, London in the Eighteenth Century"
