city,lat,lon,date_arrive,date_depart,notes
London (departure),51.5074,-0.1278,1772-07-06,1772-07-06,Crossed channel by 6 July. Ebeling had written Aug 1771 prompting the tour.
Brussels,50.8503,4.3517,1772-07-15,1772-07-22,Arrived 15 July. 15 days between Brussels and Antwerp combined.
Antwerp,51.2194,4.4025,1772-07-22,1772-07-30,APPROXIMATE. Part of 15-day Brussels/Antwerp stay.
Mannheim,49.4875,8.466,1772-08-06,1772-08-12,Arrived 6 August. Brief halts in intervening cities. Met Cannabich. APPROXIMATE departure.
Ludwigsburg,48.8975,9.192,1772-08-12,1772-08-14,APPROXIMATE. Between Mannheim and Munich.
Munich,48.1351,11.582,1772-08-16,1772-08-25,"Arrived 16 August. Louis Devisme (British plenipotentiary) 'of greatest assistance'. Got into Elector's library. Met Guadagni, Regina Mingotti, the Elector and his wife. APPROXIMATE departure."
Isar/Danube (raft journey),48.5,12.5,1772-08-24,1772-08-30,"Left Munich 24 Aug, travelled by 'great raft' down Isar and Danube to Vienna. Arrived 30 Aug."
Vienna,48.2082,16.3738,1772-08-30,1772-09-13,"Arrived 30 August, stayed 2 weeks, left 13 September. Aided by Lord Stormont (British ambassador). Met Metastasio, Hasse, and Gluck."
Prague,50.0755,14.4378,1772-09-15,1772-09-18,APPROXIMATE. En route Vienna to Berlin via Prague and Dresden.
Dresden,51.0504,13.7373,1772-09-20,1772-09-25,APPROXIMATE. Met John Osborn (British Envoy). Osborn introduced Burney to the Elector.
Berlin,52.52,13.405,1772-09-28,1772-10-07,"Arrived 28 September. ~10 days. Met Marpurg ('another historian of music'). Concerts, churches, musical activity."
Potsdam,52.4009,13.0384,1772-10-03,1772-10-05,APPROXIMATE. Visit to Court of Frederick the Great. Frederick performed on flute — three concerts.
Hamburg,53.5511,9.9937,1772-10-09,1772-10-20,"Arrived 9 October. Met CPE Bach ('many happy hours'), C.D. Ebeling (had corresponded since Aug 1771), Klopstock. Journal concluded at Rotterdam 20 October."
Amsterdam,52.3676,4.9041,1772-10-22,1772-10-24,APPROXIMATE. Hurried through Low Countries.
Rotterdam,51.9244,4.4777,1772-10-25,1772-10-27,APPROXIMATE. Journal concluded here. Ship to Dover.
Dover,51.1279,1.3134,1772-10-30,1772-10-30,APPROXIMATE. Arrived back in England.
London (return),51.5074,-0.1278,1772-11-01,1772-11-01,APPROXIMATE. Back in London early November 1772.
Great Massingham,52.7733,0.6643,1772-11-05,1772-11-10,APPROXIMATE. Visited William Bewley immediately after return. Consulted on book manuscript.
